animal,genre,views,likes,like_rate,dur,upload,channel,subs,title,hook,ai_made,url
貓,搞笑意外,368513429,2186669,0.59,37,2025-04-29,Crazy Shiny cat,6550000,The evil durian was chasing me😵‍💫 #cat #cats,邪惡榴槤一路追著貓跑,False,https://www.youtube.com/shorts/-p614RRW3q8
貓,搞笑意外,307298598,,,20,2025-03-27,Ani Story,,Ranking Funny Cat Moment  #shorts  #funnycatsvideo  #memes,爆笑貓咪瞬間排行榜,False,https://www.youtube.com/shorts/4z8Hi_uQOkE
貓,搞笑意外,297316152,4090199,1.38,20,2024-07-23,Sonyakisa8 TT,19500000,It seems Sonya's choice was obvious! 😅 #cat #cats,貓咪的選擇也太明顯,False,https://www.youtube.com/shorts/tHXwaPm9X5E
貓,搞笑意外,290353293,1243525,0.43,12,2025-10-23,Crazy Kozak,445000,This cat is really alive! 🥰 #funny #cats #catvideos #tiktok  #social #usafunny #catlovers #funpage,這隻貓居然是活的,False,https://www.youtube.com/shorts/NdRgBmKPfcc
貓,可愛日常,289042160,2101416,0.73,14,2023-05-11,Raja and David,3450000,Raja Running Around The Living Room #cat #outdoorsavannah,藪貓在客廳狂奔,False,https://www.youtube.com/shorts/zHCA0kALewI
貓,搞笑意外,269945145,,,12,2023-03-16,Sonyakisa8 TT,19500000,How to trick a cat😂 #cat #cats,教你怎麼騙過一隻貓,False,https://www.youtube.com/shorts/mSDPoXK4L7o
貓,可愛日常,256623753,1049601,0.41,6,2025-07-17,little meow,149000,Cute cat 🐈🐈#cat #catvideo #funny #shorts #aicatstory #ai #aiart #shortsfeed #cartoon #viral #trend,AI 貓咪的超萌模樣,True,https://www.youtube.com/shorts/xFzLKMJwY3M
貓,搞笑意外,256301392,1348399,0.53,26,2025-06-22,Crazy Shiny cat,6550000,My cat scares me every day🍉😱 #cat #cats,我的貓每天都在嚇我,False,https://www.youtube.com/shorts/IVtbmn0U3yo
貓,ASMR療癒,254318118,10961562,4.31,60,2024-03-20,是曼玉不是鳗鱼 Littlemanyu,14000000,【ASMR】Manyu's Immersive Weekly Full-Body Cleaning SPA,每週一次的全身清潔 SPA,False,https://www.youtube.com/shorts/kiOhOoICT20
貓,救援感人,253815635,2933713,1.16,55,2025-06-13,The Roamer Amit,12100000,Naye mehmaan ♥️ | Cat rescue 😱 | #shorts #minivlog #cat,家裡來了新成員：救回一隻貓,False,https://www.youtube.com/shorts/qrMDXpa1EPQ
貓,搞笑意外,236460168,4669291,1.97,14,2022-05-28,牛奶是只猫 kitty milk,993000,【牛奶是只猫】猫毛出在猫身上😂,貓毛終究出在貓身上,False,https://www.youtube.com/shorts/uFuZd_lOdrQ
貓,可愛日常,228882083,6874858,3.0,78,2025-09-02,POVINME,3190000,What should we name him? 😂 he’s a talkative little kitty 🐱#pov #cats #newbornkittens #straycat,幫這隻話超多的奶貓取名,False,https://www.youtube.com/shorts/cgGkx_yl2VM
貓,搞笑意外,226662131,4240582,1.87,23,2024-07-04,Princess Nika cat,12700000,My cat mastered black magic #cat #cats,我家的貓學會了黑魔法,False,https://www.youtube.com/shorts/TyMnT0w23D4
貓,搞笑意外,221828835,840697,0.38,4,2025-08-28,Fact With Johi,1900000,Cat Videos 🤣| #babydance #cutebaby #funnyanimals #chicken #monkey #funnyvideo #viralshorts,這隻貓的反應太爆笑,False,https://www.youtube.com/shorts/GMXGinLmzKs
貓,ASMR療癒,218920076,3341225,1.53,22,2022-07-25,Chef Cat ChangAn ,10600000,Meow~Super Huge Watermelon Sago Dessert!🍉🍡|ASMR Summer Drinks | Cat Cooking-TikTok #Shorts,貓廚師做超大西瓜西米露,False,https://www.youtube.com/shorts/vz-NGoLfezw
貓,搞笑意外,216097045,3513310,1.63,44,2024-04-29,exlittlebeans,5760000,"Come and experience what Chinese idioms ""raising children to prevent old"" #exlittlebeans #funnycats",貓版養兒防老長這樣,False,https://www.youtube.com/shorts/gXxg-VWJXBY
貓,搞笑意外,206106223,1263681,0.61,9,2025-04-30,Manoranjan Tales,209000,Ai animation cat video #cat #pets #3danimation #wildlife #funny #animallife,AI 動畫貓咪的爆笑演出,True,https://www.youtube.com/shorts/GYZJsM7sOKU
貓,音樂舞蹈,194277691,1369739,0.71,8,2024-09-05,MTC Animal World,3510000,Cute Cat Dancing Video (2)😺😍 #cat #dog #dogdance #catdance,貓咪跳舞跳得比人還會,True,https://www.youtube.com/shorts/OQoukB1VB5k
貓,ASMR療癒,192410154,770804,0.4,5,2025-06-15,Cuty Kitty,640000,cat video ! cat voice ! cat sound ! cat meowing #shorts #short #youtubeshorts #cat #cats #catsound,聽小貓喵喵叫的療癒聲,False,https://www.youtube.com/shorts/tF_iOpytq4U
貓,可愛日常,191405677,3401791,1.78,9,2023-02-17,Ginger and Pepper,1700000,Cat Club! #shorts30 #viral #catclub #shorts28,歡迎光臨貓咪俱樂部,False,https://www.youtube.com/shorts/tY4FtT2whtc
貓,搞笑意外,189415386,990504,0.52,9,2025-03-18,NAGPURI LOVER,228000,cat ai short video 2025 cat funny video,AI 貓咪的爆笑短劇,True,https://www.youtube.com/shorts/E4sxmoEYhqg
貓,教學DIY,186056847,3664836,1.97,19,2022-02-05,Chef Cat ChangAn ,10600000,Cooking With Cat!Yummy Idea With Marshmallow | Marshmallow Sandwich Cookies | Cute Cat TikTok#Shorts,跟貓咪一起做棉花糖餅乾,False,https://www.youtube.com/shorts/z-GGS_hRW1s
貓,救援感人,183554798,991735,0.54,16,2025-08-17,Animal Bunch,395000,Cat’s Street Mishap! Rescue needed! ❤️🐱💎!#shorts #funny #cat #cute #animals #comedy,街頭貓咪出意外急需救援,False,https://www.youtube.com/shorts/9TKxHUqWAo4
貓,可愛日常,183313933,7360482,4.02,14,2023-04-03,Sonyakisa8 TT,19500000,CAT BED!👖 #cats #cat,牛仔褲變成貓咪專屬床,False,https://www.youtube.com/shorts/UFoz7601cQ4
貓,救援感人,182368798,544345,0.3,6,2025-05-22,Ăn Vặt Tuổi Thơ ,16600000,Duckling saves seriously injured cat 🐈#DuckRescue #CuteAnimals #AnimalRescue,小鴨救了重傷的貓咪,True,https://www.youtube.com/shorts/QawxF0am9o0
貓,搞笑意外,180255776,2051089,1.14,13,2025-06-07,小奶猫成长日记🍼 ,1090000,猫咪:呼吸!人:手段了得! #小奶猫的成长日记 #万物可爱计划 #猫猫真的好像个小宝宝,奶貓喊：讓我呼吸一下,False,https://www.youtube.com/shorts/b9z2HC4_v9E
貓,ASMR療癒,179315504,,,5,2025-06-14,cats for life,508000,Kitten meowing 😻 | Cat sound | Cat video | Cat | Cat voice | Persian cat sound | Persian cat | Cats,波斯小貓的喵喵療癒音,False,https://www.youtube.com/shorts/71_8w7volNY
貓,ASMR療癒,177950812,,,4,2025-06-21,cats for life,508000,Kitten meowing to attract cats 😻 / Cat sound | Cat Voice | Cat videos | Persian cat | Cats | Kitten,小貓叫聲能把貓咪引過來,False,https://www.youtube.com/shorts/odPXcj2id8k
貓,搞笑意外,176889186,1952276,1.1,12,2026-02-13,Tuna Meoww,90500,Hey!Be quiet in class!!! ROAD TO 1K FOLLOWERS! #viral #cat #shortvideos#trend,上課吵鬧的貓咪學生,False,https://www.youtube.com/shorts/NMsLyUKpYxs
貓,搞笑意外,176599002,2345915,1.33,32,2025-01-07,Ghaffar Bhai and 2 more,,        Billi Ne is Bacche ko Rula Diya #trending #shorts #g_factz,貓咪把這個小孩弄哭了,False,https://www.youtube.com/shorts/sI6OAkqr9z8
貓,可愛日常,176579546,3643714,2.06,57,2024-08-17,DJI,6450000,Cats Caught in Action 🐈 DJI Action 2 🎬 Video by DouShaBao #cat,運動相機拍下貓咪爆衝瞬間,False,https://www.youtube.com/shorts/if-qlFXR6pY
貓,救援感人,173480012,1376365,0.79,36,2025-10-17,Clean Girl,20900000,I Found an Abandoned Kitten in a Graveyard!,我在墓園撿到一隻棄貓,False,https://www.youtube.com/shorts/ZfDkRYj22pQ
貓,搞笑意外,171386574,6812250,3.97,39,2022-03-24,mmeowmmia,4560000,It was a huge jump🙀🙈🐾,貓咪這一跳距離太誇張,False,https://www.youtube.com/shorts/hnyxy2ZgDSk
貓,可愛日常,170678923,4014165,2.35,13,2023-06-13,“獨生子的日常”YouTube官方頻道,2860000,【小奶貓成長記】誰不想擁有一隻香蕉小貓呢 #獨生子的日常,誰不想養一隻香蕉小奶貓,False,https://www.youtube.com/shorts/vhve8vpGhj0
貓,可愛日常,170141176,3336209,1.96,40,2024-10-13,Lovento Films,1510000,Cute Kitten of Cat is doing Makeup for the First Time #cat #catstory #catlover,小貓第一次學化妝,True,https://www.youtube.com/shorts/DiEJQ3ZgQvI
貓,搞笑意外,169664985,851380,0.5,21,2025-04-23,Crazy Shiny cat,6550000,The cat stole my chips😂 #cat #cats,貓偷走我的洋芋片,False,https://www.youtube.com/shorts/-rw81FN6QuE
貓,搞笑意外,169195197,4216196,2.49,37,2024-05-27,Sonyakisa8 TT,19500000,Black Magic 🪄 by Petkit Pura Max #cat #cats,貓咪憑空消失的黑魔法,False,https://www.youtube.com/shorts/K-o02pv-nJY
貓,可愛日常,168688290,1926190,1.14,16,2025-01-21,Glampawmeow,109000,Catnip Toys Your Feline Friend Can’t Resist! #cat,貓咪完全無法抗拒的玩具,False,https://www.youtube.com/shorts/CAi5hgZBt2E
貓,搞笑意外,167007510,2298984,1.38,19,2023-06-01,Mr. Chopra Vines,2740000,आलसी बिल्ली का नटखट 😇 | cat and monkey comedy | #shorts | #funnyvideo | #viral,懶貓遇上調皮猴子,False,https://www.youtube.com/shorts/8cQ1mrfMnsg
貓,搞笑意外,164991334,765134,0.46,9,2024-07-05,Funny Reverse Cat,381000,Balls 😁🐱 Cat Barsik Reverse Video #funnyreversecat #cat #catfunny #funny #funnyreverse #kitten,倒放讓貓變成魔術師,False,https://www.youtube.com/shorts/acQKF6mRRqQ
貓,可愛日常,164227239,5044111,3.07,20,2023-05-31,Sonyakisa8 TT,19500000,🥲🥲🥲 #cat #cats,貓咪委屈到快哭的表情,False,https://www.youtube.com/shorts/QZHVhDjpEkE
貓,音樂舞蹈,162874684,,,6,2023-04-28,Chpetoo_05,190000,Dj Looks 😎😻🙀 #viral #youtube #trendingshorts #pets #meow #cat #dj,貓咪化身 DJ 超帥,False,https://www.youtube.com/shorts/02t1zh_AZa0
貓,寵物與人互動,161795546,,,47,2025-08-23,Sirf Shreyansh,15900000,Caty Ka Naya Phone  | Mini Vlog #shorts #minivlog #ashortaday #vlog #tranding #cats #cat,幫貓咪買了新手機,False,https://www.youtube.com/shorts/5AwBKfZ_ALw
貓,救援感人,161627703,1246456,0.77,10,2025-02-23,Story Arc Paws,530000,Heart-touching Cute Kitten Dance 🐾 #shorts #kittenrescue #animalrescue #kittenrevenge,被救小貓跳舞讓人揪心,True,https://www.youtube.com/shorts/1GDkjZm6coU
貓,搞笑意外,161233416,4182792,2.59,16,2023-10-23,Sonyakisa8 TT,19500000,What other tricks can I expect from Sonya?😳 #cat #cats,貓咪又要玩什麼新把戲,False,https://www.youtube.com/shorts/BvQpnSHw6Zg
貓,可愛日常,159744120,1142608,0.72,11,2025-07-04,Jelly Jam Studio,172000,Orange cat story video cartoon ai animation animal goat,橘貓與山羊的動畫故事,True,https://www.youtube.com/shorts/TCBrvoVf1Aw
貓,寵物與人互動,156868296,1042578,0.66,44,2025-04-24,Princess Nika cat,12700000,My cat run away from me🥹 #cat #cats,我的貓竟然離家出走,False,https://www.youtube.com/shorts/xpzt_z30apU
貓,搞笑意外,154831964,2870939,1.85,13,2024-03-03,Sonyakisa8 TT,19500000,And where do your pets hide their toys? 😂#cat #cats,你家寵物把玩具藏哪,False,https://www.youtube.com/shorts/2iQxQHF5fhw
貓,ASMR療癒,154368178,2032577,1.32,5,2022-04-08,movie treasure,315000,#short #status #cute #cat #sound #myau,軟綿綿的貓咪喵叫聲,False,https://www.youtube.com/shorts/hV2MRUFktcE
貓,可愛日常,152650081,579645,0.38,10,2025-07-06,CLAY SHREDDER,385000,CUTE AI cat evolution! 😽💖,AI 貓咪的進化過程,True,https://www.youtube.com/shorts/kN0VtpArNE4
貓,可愛日常,150076817,2309384,1.54,14,2023-09-15,Noodle and Bun,3340000,Thank you for 1 MILLION GIMME SNACK #cat #animation,百萬訂閱只想討零食,True,https://www.youtube.com/shorts/Y0Bfl9nIsbs
貓,教學DIY,147627472,806924,0.55,9,2024-05-16,Ari-Gato Cats,99100,"Adult Cat Toilet Trained in 11 Days |  Works for ALL Breeds, ANY Age! #arigatocats #viralcatvideos",11 天教會成貓上馬桶,False,https://www.youtube.com/shorts/pNaKpKAo7xM
貓,ASMR療癒,146367853,502634,0.34,5,2024-10-19,CAT MEOW AREA ,106000,kitten meowing to attract cats,用小貓叫聲召喚貓咪,False,https://www.youtube.com/shorts/GGuU9-zsUdU
貓,搞笑意外,144575338,2975133,2.06,12,2024-04-19,“獨生子的日常”YouTube官方頻道,2860000,【獨生子的日常】让小奶猫也体验一把鬼打墙#小奶喵 #铲屎官的乐趣,讓小奶貓體驗鬼打牆,False,https://www.youtube.com/shorts/axtdrBYRelY
貓,可愛日常,143798946,3224236,2.24,14,2023-08-17,Sonyakisa8 TT,19500000,Bath time 🛁 #cat #cats,貓咪的洗澡時間到了,False,https://www.youtube.com/shorts/5jqHZTz-2PM
貓,搞笑意外,134536808,626774,0.47,9,2025-08-28,Mr Fantos,7220000,Parle-G wali car tod di🤯#Catsoftiktok #CatLovers #cat #cute #FunnyCats #catcartoon #fyp,貓咪把餅乾車撞爛了,True,https://www.youtube.com/shorts/CRv5GvTFU7A
貓,可愛日常,134048274,771461,0.58,16,2025-06-18,Sonyakisa8 TT,19500000,Sonya😭✂️ #cat #cats,貓咪被剪毛的哀怨眼神,False,https://www.youtube.com/shorts/Bw4GpjErFpw
貓,可愛日常,132198346,,,4,2025-08-11,baby's lavishka Blog Ravi kumar ,2100000,"Pa💕Pa #remix #cute🤷🏼‍♀️😺#viral  #cat #cats #catlover #catvideos #cutekitty #meowmoe August 11, 2025",小貓開口喊爸爸,False,https://www.youtube.com/shorts/x1gm8dSeiXg
貓,搞笑意外,131030352,647531,0.49,8,2025-02-15,Happy Doggy Club,142000,Funniest cat video#shortsviral #shortvideo #funny #funnycat,史上最好笑的貓影片,False,https://www.youtube.com/shorts/y6kwZPbBw8o
貓,劇情反轉,128463951,852407,0.66,19,2025-10-11,MagiclightAI,218000,Monkey’s Mess Leads to White Cat’s Sweet Surprise! 🍎🍬🐾 #funny #cat #cartoon #monkey #animation #cute,猴子闖禍換來白貓驚喜,True,https://www.youtube.com/shorts/3eEUdq6uG1E
貓,寵物與人互動,127948383,2267803,1.77,17,2025-07-01,Sujal Thakral,41000000,Cute Cat Ke Liye Gift ~ Sujal Thakral #shorts #ytshorts #youtubeshorts #emotional #cat #cutecat,送給小貓的驚喜禮物,False,https://www.youtube.com/shorts/9af6dvIVFTA
貓,可愛日常,127779499,1175910,0.92,20,2024-06-01,もこまるファミリー【赤ちゃんと猫2匹との暮らし】,7410000,赤ちゃんと遊びたい猫が、ゲートを開けるために知恵を絞った結果w #cat #catlover #cats,貓為了找寶寶自己開門,False,https://www.youtube.com/shorts/24KKdA414Lw
貓,可愛日常,126626893,1907370,1.51,11,2023-09-15, Cute Cat🐱,332000,Cute kittens❤️【30】#shorts #cutecat520 #cat #kittens #pets,一連串可愛小貓合集,False,https://www.youtube.com/shorts/wdjpworLSk8
貓,音樂舞蹈,125988058,840989,0.67,10,2023-09-25,Name craft 🖍️,157000,# cat dance!!!# Mano billi,貓咪跳起舞來了,False,https://www.youtube.com/shorts/tcwLxqubUHA
貓,救援感人,122230025,1907898,1.56,28,2025-04-24,Hublot Baggins,6430000,"This cat lost all her kittens, but then.. 😢💔 #shorts",母貓失去所有幼貓後,False,https://www.youtube.com/shorts/PT3tdInvv3I
貓,救援感人,122012359,,,30,2025-04-19,The BN Family,10100000,Saved A Kitten 😳🥰 #shorts #thebnfamily #kitten #love,救回一隻小奶貓,False,https://www.youtube.com/shorts/wGuhtvMrskk
貓,搞笑意外,120794482,423048,0.35,8,2026-05-05,Cat the Star,2820000,Geometry dash Normal and Gugugaga Penguin (pizzaaa),貓咪闖關幾何衝刺,True,https://www.youtube.com/shorts/JlZ6Uoy5RQw
貓,可愛日常,120728559,2716074,2.25,54,2025-07-15,PARALLELGALAXY-TV,786000,#cartoon #cutecat #kitten #cute #funny #videos #animals #animation #cat #ai #cats #video,AI 小貓超萌動畫,True,https://www.youtube.com/shorts/yckFIB6fE5M
貓,知識科普,119679645,852968,0.71,46,2026-03-24,Princess Nika cat,12700000,Tulips are toxic to cats – keep your kitties safe🌷🚫 #cat #cats,鬱金香對貓有毒,False,https://www.youtube.com/shorts/rdwAXkfCh3g
貓,搞笑意外,119243440,4363655,3.66,43,2022-11-16,Panda Shorts,23500000,#Funny #Animals 😹,動物搞笑大合集,False,https://www.youtube.com/shorts/p4AGbTnsxs8
貓,可愛日常,118991235,653652,0.55,8,2025-01-13,Rohan01,124000,Mau Mau // billi // billi ki awaaz #cat #funny #sound #billi #billi #voice billi voice,貓咪的叫聲來了,False,https://www.youtube.com/shorts/yxnXJA4PimQ
貓,寵物與人互動,118275595,,,46,2025-01-03,Sirf Shreyansh,15900000,New Clothes And Cat House  | Mini Vlog #shorts #minivlog #ashortaday #vlog #tranding #cats #cat,幫貓買新家新衣,False,https://www.youtube.com/shorts/XKEKsgYnQZk
貓,可愛日常,117169327,,,15,2025-01-13,Kraftovie,7920000,What a cute baby😍😍😍 Cat mode😺😺😺,這小傢伙也太可愛,False,https://www.youtube.com/shorts/EB7nJxAELZA
貓,搞笑意外,115973860,,,34,2026-02-06,Alan ranks ,126000,Ranking Funny Cat Moments🤣 #shorts,爆笑貓咪時刻排名,False,https://www.youtube.com/shorts/TsIvLpSJQbk
貓,劇情反轉,115963142,507804,0.44,15,2025-08-01,Alpakarl animation,229000,After the cats failed at jump rope in Squid Game 3,貓咪跳繩失敗之後,True,https://www.youtube.com/shorts/_oHmS3JiGOQ
貓,搞笑意外,115510202,2247546,1.95,59,2024-09-30,Pets Funny Folder,701000,#88 Funny Cat videos 🐱🐱 #meowing #memes #cute,貓咪搞笑合集第88彈,False,https://www.youtube.com/shorts/-vzQdTvm2VA
貓,搞笑意外,114217323,2475552,2.17,21,2023-06-22,Ho salt,3910000,Stray cat in Block Blast,流浪貓闖進消消樂,False,https://www.youtube.com/shorts/-oGCf4No0so
貓,音樂舞蹈,110770573,786022,0.71,6,2024-05-05,Arvind sovshiya 007,371000,pink cat iscat found dancing #pinkcat #sbvfx #funny #sphynx #catdance #ytshorts #catsong,粉紅貓咪跳起舞,True,https://www.youtube.com/shorts/-kgkJFPUas8
貓,音樂舞蹈,109310451,,,8,2025-02-02,cat lover dubey,72800,Cute cat dance 😺 #reels #cat #catvideos #funnycatvideos #shorts #trendingshorts #ytcat #funny #cute,貓咪跳舞超可愛,False,https://www.youtube.com/shorts/UPySIokNM_I
貓,搞笑意外,108244903,616694,0.57,41,2026-03-28,Princess Nika cat,12700000,Don’t ignore your cats😱 #BlockBlast #cat #cats,別忽視你的貓,False,https://www.youtube.com/shorts/ppx8vzLfE7U
貓,可愛日常,106079013,4280834,4.04,16,2023-08-19,FurryFritz - Catographer,1060000,Kitty growing up 🐱📈#furryfritz #catographer #kitten #growingup #cat #mainecoon #tuxedocat,小貓長大縮時記,False,https://www.youtube.com/shorts/gyt8F3WpZbw
貓,挑戰實驗,106027360,1103355,1.04,31,2026-06-18,どうぶつランキング,138000,猫 VS 偽物ナイフ 反応ランキング🐱TOP6,貓對假刀的反應TOP6,False,https://www.youtube.com/shorts/19OLUdA-CtM
貓,可愛日常,105942741,1267682,1.2,15,2025-01-09,Sadia Rahman Nowshin ,886000,The kitten leaps toward you 💞😻 #cute #kitten #cat #meow,小貓朝你飛撲過來,False,https://www.youtube.com/shorts/SAfbpsFRREY
貓,可愛日常,100625526,525058,0.52,8,2025-05-19,NewFunStories,131000,Cutest Baby Dance compilation with cute cats,寶寶跟貓咪一起跳舞,False,https://www.youtube.com/shorts/OiEExW8mH6U
貓,搞笑意外,99556888,1087886,1.09,19,2024-09-24,Oscar's Funny World,16200000,Stop Cleaning!✋ Let's Save Our Dirty Rivers Now💧🍓 #catvideos #catmemes #trending,別掃地了，先救河川,True,https://www.youtube.com/shorts/zOp904FK8ms
貓,搞笑意外,98887462,1585608,1.6,45,2024-12-05,meowneow,1570000,The Kitten's Mess: 🐱💧 Digging Trouble and a Soaked Clean-Up 🌊🛁#cattales #catfunny #animation#cat,小貓闖禍弄得一團濕,True,https://www.youtube.com/shorts/kAPjO0u9SIU
貓,可愛日常,98550213,,,19,2025-04-09,Misti Happy Lifestyle Games & Shorts,28800000,Misti’ cat under the car😸🐈‍⬛🤪🤣🥰#shorts #funny #cutebaby #trending,貓咪躲在車底下,False,https://www.youtube.com/shorts/_kunFuIuXbM
貓,寵物與人互動,98119579,,,43,2025-04-04,Sirf Shreyansh,15900000,Caty Ka Naya Mahal  | Mini Vlog #shorts #minivlog #ashortaday #vlog #tranding #cats #cat,幫貓咪蓋一座新宮殿,False,https://www.youtube.com/shorts/v4i0zcfYBh0
貓,救援感人,97665790,,,34,2025-04-25,The BN Brothers,12400000,Saved A Kitten 🐈‍⬛ 😍 #shorts #thebnbrothers #kitten #love,路邊救回一隻小黑貓,False,https://www.youtube.com/shorts/LmmYrpR2O0I
貓,其他,96760963,1357792,1.4,31,2025-04-14,TheCatRanked,286000,Ranking Best Cat Veterinarian Videos,貓咪看獸醫影片大排名,False,https://www.youtube.com/shorts/8E6NNlyMG8U
貓,可愛日常,96374460,380215,0.39,5,2024-07-25,Baby Mom Official ,185000,Billi boli meow meow 😻🙀🐾🐈‍⬛😺😻🙈😺😻☔🌲🌽💯🔥💐🍒 #shorts #viral #funny #cat #billi,貓咪開口喵喵叫,False,https://www.youtube.com/shorts/FWLz9csvMb0
貓,搞笑意外,93983227,421586,0.45,16,2026-07-16,Paws & Vibes,48800,Cat Finds Food in the Puddle?! 😱🐾,貓在水窪裡撈到食物？,False,https://www.youtube.com/shorts/TdjqWSpr-Kc
貓,搞笑意外,92102311,4340666,4.71,19,2024-04-25,Sonyakisa8 TT,19500000,Sonya has made a mess again!😳 #cat #cats,貓又把家裡搞得一團亂,False,https://www.youtube.com/shorts/dIKw3x7iLUo
貓,寵物與人互動,91878224,808545,0.88,32,2025-05-25,Anaya Kandhal,74400000,Anaya Or Papa Laye Billi Ka Bacha 🐱🥹,爸爸帶回一隻小貓咪,False,https://www.youtube.com/shorts/yr27dYeySjI
貓,ASMR療癒,91651188,419179,0.46,8,2024-08-11,A Satisfying Video Family,1430000,Cat Barsik Beads 📿 Domino Reverse Video #cat #catvideos #asatisfyingvideofamily #funny,貓撞倒珠子的倒放畫面,False,https://www.youtube.com/shorts/NSWihO8N8W8
貓,搞笑意外,90846101,1076951,1.19,8,2023-01-02,SRH Funny cats,195000,🐱 Funny cat videos | cute cats | Try not to laugh | Cat videos Compilation #shorts  🐈,挑戰看貓不笑出來,False,https://www.youtube.com/shorts/Po098TRdOn4
貓,搞笑意外,89678214,1438490,1.6,43,2024-10-10,Shadows of Secrets,553000,Cat Drifting 😼 | #cat,貓咪甩尾漂移了,False,https://www.youtube.com/shorts/_nFOsHpVH_8
貓,可愛日常,89550091,815864,0.91,16,2024-04-28,Cristian andres,394000,KITTY CAT🐈🐈‍⬛🐈.                                    #fyp #foryoupage #explorepage #trending,小貓咪的療癒近拍,False,https://www.youtube.com/shorts/Vmc9R9fHnfY
貓,搞笑意外,89463730,,,8,2025-08-28,Mr Fantos,7220000,dinosaur wala jhula tod diya 🤯#Catsoftiktok #CatLovers #cat #cute #FunnyCats #catcartoon #fyp,貓把恐龍鞦韆玩壞了,True,https://www.youtube.com/shorts/HcDPDcu5uwo
